
STR/BTC 1512695416295000 0.00000735 0.00000734 0.00000735 773101047 
NXT/BTC 1512695417434000 0.00003645 0.00003611 0.00003644 43975112 
BTC/USDT 1512695418508000 16567.56478955 16538.40036837 16567.56478955 16452 
XMR/BTC 1512695419600000 0.01474044 0.01474044 0.0148533 193185 
STR/BTC 1512695420856000 0.00000735 0.00000734 0.00000735 773101047 
NXT/BTC 1512695424278000 0.00003645 0.00003611 0.00003644 43975112 
BTC/USDT 1512695425448000 16500.00000008 16458.00000007 16500.00000008 16452 
XMR/BTC 1512695426605000 0.01474044 0.01474058 0.0148533 193212 
STR/BTC 1512695427785000 0.00000734 0.0000073 0.00000734 772606201 
NXT/BTC 1512695429140000 0.00003642 0.00003611 0.00003642 44088370 
BTC/USDT 1512695433431000 16500.00000013 16510.00000004 16590.0 16484 
XMR/BTC 1512695434659000 0.01474058 0.01474066 0.0148533 193212 
STR/BTC 1512695435808000 0.00000734 0.0000073 0.00000734 772606201 
NXT/BTC 1512695437428000 0.00003612 0.00003612 0.00003643 44088370 
BTC/USDT 1512695438602000 16686.99999966 16549.0 16580.0 16484 
XMR/BTC 1512695440370000 0.01474074 0.01474075 0.0148533 193212 
STR/BTC 1512695442110000 0.00000729 0.00000729 0.00000734 772606201 
NXT/BTC 1512695443433000 0.00003611 0.000036 0.00003611 44088370 
BTC/USDT 1512695444578000 16580.0 16549.0 16580.0 16484 
XMR/BTC 1512695445725000 0.01474083 0.01474083 0.0148533 193212 
STR/BTC 1512695446816000 0.00000734 0.0000073 0.00000734 772606201 
NXT/BTC 1512695447970000 0.00003611 0.000036 0.00003611 44088370 
BTC/USDT 1512695449573000 16580.0 16502.0 16580.0 16484 
XMR/BTC 1512695453107000 0.01489201 0.01474092 0.01489204 193212 
STR/BTC 1512695454320000 0.00000728 0.00000728 0.0000073 772606201 
NXT/BTC 1512695455923000 0.00003611 0.00003643 0.00003644 44088370 
BTC/USDT 1512695456993000 16580.0 16550.99999969 16580.0 16484 
XMR/BTC 1512695458080000 0.01474098 0.01474098 0.01489204 193212 
STR/BTC 1512695459569000 0.00000727 0.00000727 0.00000728 772606201 
